2023-04-17T11:00:00,2023-04-17T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-04-18T15:30:00,2023-04-18T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-04-20T16:30:00,2023-04-20T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-04-21T09:00:00,2023-04-21T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-04-21T12:00:00,2023-04-21T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-04-24T11:00:00,2023-04-24T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-04-25T15:30:00,2023-04-25T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-04-27T16:30:00,2023-04-27T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-04-28T09:00:00,2023-04-28T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-04-28T12:00:00,2023-04-28T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-05-01T11:00:00,2023-05-01T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-05-02T15:30:00,2023-05-02T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-05-04T16:30:00,2023-05-04T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-05-05T09:00:00,2023-05-05T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-05-05T12:00:00,2023-05-05T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
